Date,Transit Agency,Type ,Service Class,Discount,Amount,Balance
8/26/2018 6:56:06 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$16.29 
8/22/2018 8:49:55 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$19.29 
8/21/2018 9:16:05 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$22.29 
8/5/2018 6:25:59 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$25.29 
8/5/2018 10:02:40 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$28.29 
7/16/2018 7:15:06 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$11.29 
7/9/2018 9:29:43 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$14.29 
7/9/2018 5:43:25 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$17.29 
7/3/2018 9:36:00 AM,Go Transit,Fare Payment,,$0.00 ,$5.30 ,$20.29 
7/3/2018 9:06:45 AM,Union Pearson Express,Fare Payment,,$0.00 ,$9.25 ,$25.59 
6/30/2018 8:11:35 AM,Union Pearson Express,Fare Payment,,$0.00 ,$0.00 ,$14.84 
6/30/2018 7:36:55 AM,Union Pearson Express,Fare Payment,,$0.00 ,$9.25 ,$14.84 
6/17/2018 9:27:06 PM,Union Pearson Express,Fare Payment,,$0.00 ,$0.00 ,$24.09 
6/17/2018 8:45:45 PM,Union Pearson Express,Fare Payment,,$0.00 ,$9.25 ,$24.09 
6/16/2018 11:51:30 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$13.34 
6/16/2018 5:54:01 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$16.34 
6/13/2018 7:33:49 PM,Toronto Transit Commission,Transfer,Regular,$0.00 ,$0.00 ,$0.00 
6/13/2018 6:58:11 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$19.34 
5/31/2018 6:41:18 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$22.34 
5/31/2018 8:32:51 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$25.34 
5/30/2018 5:27:31 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$28.34 
5/30/2018 8:43:50 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$11.34 
5/22/2018 5:23:34 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$14.34 
5/22/2018 8:41:16 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$17.34 
5/18/2018 5:27:58 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$20.34 
5/18/2018 8:59:26 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$23.34 
5/15/2018 5:29:12 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$26.34 
5/15/2018 8:57:50 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$29.34 
5/11/2018 5:36:00 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$12.34 
5/11/2018 9:10:00 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$15.34 
5/9/2018 9:11:16 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$18.34 
5/9/2018 8:27:21 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$21.34 
5/7/2018 5:25:50 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$24.34 
5/7/2018 8:40:40 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$27.34 
5/5/2018 1:04:23 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$10.34 
5/4/2018 5:41:47 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$13.34 
5/4/2018 8:49:00 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$16.34 
5/3/2018 5:39:34 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$19.34 
5/3/2018 8:55:25 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$22.34 
5/2/2018 6:08:59 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$25.34 
5/2/2018 8:42:14 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$28.34 
5/1/2018 5:39:46 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$11.34 
5/1/2018 8:55:02 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$14.34 
4/30/2018 5:55:19 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$17.34 
4/30/2018 8:40:54 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$20.34 
4/27/2018 5:18:17 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$23.34 
4/27/2018 9:23:09 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$26.34 
4/26/2018 10:11:19 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$29.34 
4/26/2018 8:50:26 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$12.34 
4/25/2018 5:31:36 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$15.34 
4/25/2018 8:51:44 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$18.34 
4/24/2018 9:54:57 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$21.34 
4/24/2018 8:02:45 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$24.34 
4/23/2018 6:44:03 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$27.34 
4/23/2018 8:43:17 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$10.34 
4/20/2018 5:38:32 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$13.34 
4/20/2018 8:24:56 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$16.34 
4/19/2018 5:41:55 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$19.34 
4/19/2018 8:44:29 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$22.34 
4/18/2018 6:05:43 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$25.34 
4/18/2018 8:34:54 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$28.34 
4/17/2018 7:13:05 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$11.34 
4/17/2018 8:44:21 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$14.34 
4/16/2018 6:30:18 PM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$17.34 
4/16/2018 8:40:11 AM,Toronto Transit Commission,Fare Payment,Regular,$0.00 ,$3.00 ,$20.34 
4/14/2018 1:43:42 PM,Toronto Transit Commission,Transfer,Regular,$0.00 ,$0.00 ,$0.00 
4/14/2018 1:34:51 PM,Toronto Transit Commission,Transfer,Regular,$0.00 ,$0.00 ,$0.00 
